cellSize 32
screenWidth 512
screenHeight 512
mapSize 3
mapSections 2
texturePath0 res/textures/World/32/tile_32_floor_B.png
texturePath1 res/textures/World/32/tile_32_floor_b2.png
texturePath2 res/textures/World/32/tile_32_floor_t.png
texturePath3 res/textures/World/32/tile_32_floor_t2.png
texturePath4 res/textures/World/32/tile_32_wall_l.png
texturePath5 res/textures/World/32/tile_32_wall_l2.png
texturePath6 res/textures/World/32/tile_32_wall_r.png
texturePath7 res/textures/World/32/tile_32_wall_r2.png
texturePath8 res/textures/World/32/tile_32_corner_l.png
texturePath9 res/textures/World/32/tile_32_corner_r.png
texturePath10 none
texturePath11 none
texturePath12 none
texturePath13 none
texturePath14 none
texturePath15 none
texturePath16 none
texturePath17 none
